분류,K,위도,경도
LPG,4,126.8473231,37.530167
LPG,4,127.043997,37.628235
LPG,4,127.0836974,37.5346254
LPG,4,126.9821327,37.4790732
LPG,13,127.044922,37.548789
LPG,13,127.0168312,37.5894385
LPG,13,127.041361,37.6605696
LPG,13,127.0587319,37.5629291
LPG,13,126.9002813,37.5788412
LPG,13,126.9953379,37.4732032
LPG,13,127.0869831,37.5036277
LPG,13,127.0725159,37.6169744
LPG,13,126.8473231,37.530167
LPG,13,126.9343062,37.4735606
LPG,13,127.0793084,37.5796075
LPG,13,126.8015717,37.5752764
LPG,13,127.1465229,37.5251936
LPG,28,127.044922,37.548789
LPG,28,127.0168312,37.5894385
LPG,28,127.0412907,37.5910724
LPG,28,127.0587319,37.5629291
LPG,28,126.9646482,37.5637544
LPG,28,127.0118298,37.5188993
LPG,28,127.0523129,37.5505064
LPG,28,127.0594263,37.5896145
LPG,28,127.0737196,37.5600832
LPG,28,127.0673296,37.5760174
LPG,28,126.9020644,37.4842941
LPG,28,126.9063574,37.5736537
LPG,28,126.8884901,37.5174966
LPG,28,127.0766248,37.5649626
LPG,28,126.8266272,37.5390095
LPG,28,126.9002813,37.5788412
LPG,28,126.9821327,37.4790732
LPG,28,126.8015717,37.5752764
LPG,28,127.0793084,37.5796075
LPG,28,127.0725159,37.6169744
LPG,28,127.035691,37.4904973
LPG,28,126.8390716,37.5070378
LPG,28,127.0981299,37.6139022
LPG,28,127.0281019,37.6361063
LPG,28,127.0670603,37.6492695
LPG,28,126.9953379,37.4732032
LPG,28,127.0555723,37.6714154
LPG,28,127.1036342,37.5081343
