,lon,lat
998,127.0356428,37.49028717
2169,127.0751929,37.49764689
2717,127.1058513,37.47612045
2948,127.0785766,37.49946173
4899,127.129303,37.53658752
4947,127.128095,37.55190676
6021,127.170015,37.54482051
6472,127.1463365,37.52492212
7119,127.0438522,37.62822573
7242,127.0222801,37.63444973
7631,127.0279354,37.63627517
9761,126.7680448,37.55563175
10217,126.8608549,37.55887468
10460,126.8475203,37.52995871
10646,126.8586369,37.55345459
11353,126.7691857,37.55473748
11828,126.7994482,37.5873691
11859,126.8018228,37.57566579
12232,126.8608626,37.55797338
12295,126.8168487,37.54240409
12426,126.8301412,37.57492854
12797,126.8164535,37.58566613
13568,126.8164618,37.58476484
13628,126.8177259,37.57035075
14171,126.9339614,37.47361931
14576,126.9531867,37.47370984
15623,126.9022103,37.48427922
16849,127.0840381,37.53463405
17573,127.0770739,37.5652553
18247,127.0737078,37.55983509
18880,126.8771776,37.50217699
18891,126.9022103,37.48427922
19410,126.8602541,37.49667843
20026,126.8771851,37.50127567
20828,126.8376614,37.49294851
21678,126.8978669,37.46172322
22811,127.0710452,37.62922907
23220,127.0722508,37.61661466
23521,127.0560606,37.67153646
23975,127.0675304,37.64904569
24924,127.1095247,37.63927743
25670,127.0559692,37.68685877
26125,127.032418,37.64440506
26435,127.0413863,37.66066431
26581,127.0445947,37.69222338
28278,127.058973,37.56248502
28528,127.0589677,37.56338635
28924,127.0599462,37.5895291
29251,127.0668206,37.57603432
30109,126.929239,37.49973594
33083,126.9060274,37.57353209
34794,126.9649835,37.5638992
35601,126.9060274,37.57353209
36247,127.0117006,37.51903408
36967,126.9825529,37.47925026
37024,126.9950363,37.47299474
41270,127.0522496,37.55074215
41974,127.058973,37.56248502
42396,127.0737078,37.55983509
43770,127.0169049,37.58936078
44029,127.0609412,37.61296776
46163,127.1034226,37.50766
46586,127.1317174,37.50594889
48077,127.1034178,37.50856135
49060,126.8374145,37.52088897
49414,126.8645345,37.52554475
49558,126.8270683,37.53885739
50001,126.8316682,37.53077141
50323,126.8714757,37.50755489
50760,126.8386654,37.50737575
51228,126.8995368,37.53564274
51794,126.8883658,37.51755842
56633,126.900322,37.57891129
57298,126.9213366,37.6439125
62877,127.1017975,37.60049387
62995,127.0983262,37.61400227
63128,127.075778,37.59409379
64170,127.0722508,37.61661466
64234,127.0792574,37.57968469
